Rank,Team#,W,L,T,#P,RP,Rank Score,Total Score,Nav,Anch,Deck,Hull,Nest,Sail
1,2175,9,0,0,9,27,3.0,1257,45,14,340,641,110,18
2,1816,8,1,0,9,25,2.7777777777777777,1151,15,18,288,521,130,18
3,7028,8,1,0,9,25,2.7777777777777777,1251,0,29,376,482,140,18
4,3206,8,1,0,9,24,2.6666666666666665,1021,60,12,418,406,30,17
5,2052,7,2,0,9,23,2.5555555555555554,1217,45,18,382,497,120,18
6,7068,7,2,0,9,23,2.5555555555555554,933,30,33,416,360,0,18
7,4663,7,2,0,9,23,2.5555555555555554,999,30,22,462,333,30,18
8,4624,7,2,0,9,23,2.5555555555555554,910,15,18,384,329,40,18
9,2129,7,2,0,9,22,2.4444444444444446,1331,60,31,358,600,100,17
10,5464,6,2,1,9,22,2.4444444444444446,1136,30,31,328,474,120,18
11,4536,8,1,0,9,22,2.4444444444444446,1116,15,18,256,590,80,15
12,6749,6,3,0,9,21,2.3333333333333335,1037,60,34,368,414,40,18
13,7019,7,2,0,9,21,2.3333333333333335,928,15,15,298,436,40,16
14,4277,6,3,0,9,20,2.2222222222222223,906,60,26,302,412,20,17
15,2502,6,3,0,9,20,2.2222222222222223,1150,60,21,460,416,70,17
16,2531,5,3,1,9,20,2.2222222222222223,974,15,38,286,408,70,18
17,7038,6,3,0,9,20,2.2222222222222223,913,15,16,448,298,40,17
18,6147,5,3,1,9,19,2.111111111111111,1109,45,61,362,389,90,17
19,2491,5,4,0,9,19,2.111111111111111,1093,45,32,374,430,90,18
20,2220,5,4,0,9,19,2.111111111111111,904,45,29,286,428,10,18
21,2169,6,3,0,9,19,2.111111111111111,1024,45,28,302,490,40,16
22,5275,5,4,0,9,19,2.111111111111111,926,30,31,458,274,20,18
23,4693,5,4,0,9,19,2.111111111111111,865,30,23,380,300,30,18
24,3082,6,3,0,9,19,2.111111111111111,929,15,17,374,356,50,16
25,4664,5,4,0,9,19,2.111111111111111,857,0,22,404,314,20,18
26,7541,5,4,0,9,18,2.0,987,45,23,436,355,30,17
27,5434,4,4,1,9,18,2.0,894,15,24,456,254,40,18
28,2181,6,3,0,9,18,2.0,947,15,22,318,378,60,15
29,7850,4,5,0,9,17,1.8888888888888888,835,75,29,240,358,30,18
30,3184,4,5,0,9,17,1.8888888888888888,951,30,33,364,380,20,18
31,3883,4,4,1,9,17,1.8888888888888888,939,15,17,338,427,30,17
32,3630,5,4,0,9,16,1.7777777777777777,1123,45,29,284,503,100,15
33,2879,4,5,0,9,16,1.7777777777777777,872,30,26,228,409,70,17
34,7530,4,5,0,9,16,1.7777777777777777,726,30,20,250,306,30,17
35,5541,4,5,0,9,16,1.7777777777777777,719,15,27,236,310,50,17
36,2207,4,5,0,9,16,1.7777777777777777,809,15,24,422,256,10,17
37,7849,3,4,2,9,16,1.7777777777777777,882,0,27,284,430,30,17
38,2470,4,5,0,9,16,1.7777777777777777,956,0,18,422,377,30,17
39,3751,3,6,0,9,15,1.6666666666666667,753,30,16,284,327,10,18
40,7273,3,6,0,9,15,1.6666666666666667,652,30,16,280,252,10,18
41,2501,4,5,0,9,15,1.6666666666666667,842,30,13,308,322,30,16
42,2861,3,6,0,9,15,1.6666666666666667,810,15,31,392,242,20,18
43,8234,4,5,0,9,15,1.6666666666666667,725,15,14,236,347,20,16
44,2498,4,5,0,9,15,1.6666666666666667,781,15,10,282,356,20,16
45,2264,3,6,0,9,15,1.6666666666666667,882,15,10,266,448,30,18
46,3038,3,5,1,9,14,1.5555555555555556,873,60,33,322,335,30,16
47,3100,3,6,0,9,14,1.5555555555555556,918,45,21,374,355,30,17
48,2472,2,6,1,9,14,1.5555555555555556,857,45,16,226,422,20,18
49,2987,4,5,0,9,14,1.5555555555555556,1025,15,17,334,447,90,15
50,3610,4,5,0,9,14,1.5555555555555556,691,15,13,234,313,20,15
51,5271,2,6,1,9,14,1.5555555555555556,564,0,23,202,250,10,18
52,8516,3,6,0,9,14,1.5555555555555556,912,0,18,322,405,60,17
53,3691,2,7,0,9,13,1.4444444444444444,768,45,13,256,346,20,18
54,2549,3,6,0,9,13,1.4444444444444444,885,30,37,392,304,20,16
55,3018,3,6,0,9,13,1.4444444444444444,875,30,15,268,439,10,16
56,3026,2,6,1,9,12,1.3333333333333333,789,15,28,286,319,30,16
57,8787,2,6,1,9,12,1.3333333333333333,686,0,15,274,280,20,16
58,9149,2,7,0,9,11,1.2222222222222223,778,30,30,292,325,20,16
59,4511,2,7,0,9,11,1.2222222222222223,712,30,27,328,219,20,16
60,3891,2,7,0,9,11,1.2222222222222223,836,15,13,338,321,30,16
61,5278,1,8,0,9,10,1.1111111111111112,808,45,25,256,368,30,17
62,2511,1,8,0,9,7,0.7777777777777778,626,15,14,192,290,30,14
63,9157,1,8,0,9,7,0.7777777777777778,697,15,12,210,367,0,14
64,3202,1,8,0,9,7,0.7777777777777778,626,0,28,224,278,10,14
